Timestamp,Current (A)
2024-07-12 14:55:43,0.001691997
2024-07-12 14:55:43,-0.0001158061
2024-07-12 14:55:44,-0.000135033
2024-07-12 14:55:44,-0.00016928
2024-07-12 14:55:44,-0.0001877928
2024-07-12 14:55:44,-0.0002009311
2024-07-12 14:55:44,-0.0002119346
2024-07-12 14:55:44,-0.0002209957
2024-07-12 14:55:44,-0.0002283241
2024-07-12 14:55:44,-0.000234757
2024-07-12 14:55:44,-0.0002406477
2024-07-12 14:55:45,-0.0002457944
2024-07-12 14:55:45,-0.0002503934
2024-07-12 14:55:45,-0.0002550103
2024-07-12 14:55:45,-0.0002588561
2024-07-12 14:55:45,-0.0002624255
2024-07-12 14:55:45,-0.0002659454
2024-07-12 14:55:45,-0.0002689693
2024-07-12 14:55:45,-0.0002718213
2024-07-12 14:55:45,-0.0002745602
2024-07-12 14:55:45,-0.0002771207
2024-07-12 14:55:46,-0.0002794673
2024-07-12 14:55:46,-0.0002816851
2024-07-12 14:55:46,-0.0002838173
2024-07-12 14:55:46,-0.0002858216
2024-07-12 14:55:46,-0.0002877636
2024-07-12 14:55:46,-0.0002896252
2024-07-12 14:55:46,-0.0002913318
2024-07-12 14:55:46,-0.000292995
2024-07-12 14:55:46,-0.0002946041
2024-07-12 14:55:46,-0.0002961036
2024-07-12 14:55:47,-0.0002975935
2024-07-12 14:55:47,-0.0002990596
2024-07-12 14:55:47,-0.0003004643
2024-07-12 14:55:47,-0.0003018207
2024-07-12 14:55:47,-0.0003029823
2024-07-12 14:55:47,-0.000304135
2024-07-12 14:55:47,-0.000305279
2024-07-12 14:55:47,-0.0003065215
2024-07-12 14:55:47,-0.0003076514
2024-07-12 14:55:48,-0.0003086619
2024-07-12 14:55:48,-0.000309668
2024-07-12 14:55:48,-0.0003105901
2024-07-12 14:55:48,-0.0003115291
2024-07-12 14:55:48,-0.0003124868
2024-07-12 14:55:48,-0.0003133407
2024-07-12 14:55:48,-0.0003141566
2024-07-12 14:55:48,-0.0003149714
2024-07-12 14:55:48,-0.0003157641
2024-07-12 14:55:48,-0.0003165113
2024-07-12 14:55:49,-0.0003172034
2024-07-12 14:55:49,-0.0003179586
2024-07-12 14:55:49,-0.0003186631
2024-07-12 14:55:49,-0.0003193462
2024-07-12 14:55:49,-0.0003200218
2024-07-12 14:55:49,0.006216417
2024-07-12 14:55:49,0.006284726
2024-07-12 14:55:49,0.006166025
2024-07-12 14:55:49,0.006143999
2024-07-12 14:55:49,0.00618606
2024-07-12 14:55:50,0.006393558
2024-07-12 14:55:50,0.006384771
2024-07-12 14:55:50,0.006269862
2024-07-12 14:55:50,0.006084885
2024-07-12 14:55:50,0.006201662
2024-07-12 14:55:50,0.006105644
2024-07-12 14:55:50,0.006029265
2024-07-12 14:55:50,0.006006918
2024-07-12 14:55:50,0.005997293
2024-07-12 14:55:51,0.005903134
2024-07-12 14:55:51,0.00594385
2024-07-12 14:55:51,0.005942464
2024-07-12 14:55:51,0.005804557
2024-07-12 14:55:51,0.006125594
2024-07-12 14:55:51,0.005869161
2024-07-12 14:55:51,0.006035126
2024-07-12 14:55:51,0.005829214
2024-07-12 14:55:51,0.005778692
2024-07-12 14:55:51,0.005652475
2024-07-12 14:55:52,0.005836239
2024-07-12 14:55:52,0.005859948
2024-07-12 14:55:52,0.005947173
2024-07-12 14:55:52,0.005952262
2024-07-12 14:55:52,0.005942816
2024-07-12 14:55:52,0.00600817
2024-07-12 14:55:52,0.005901481
2024-07-12 14:55:52,0.005667584
2024-07-12 14:55:52,0.005907723
2024-07-12 14:55:52,0.005694058
2024-07-12 14:55:53,0.005853648
2024-07-12 14:55:53,0.005758684
2024-07-12 14:55:53,0.005540318
2024-07-12 14:55:53,0.005747118
2024-07-12 14:55:53,0.005771407
2024-07-12 14:55:53,0.005652891
2024-07-12 14:55:53,0.005681249
2024-07-12 14:55:53,0.005810945
2024-07-12 14:55:53,0.005684605
2024-07-12 14:55:54,0.005700268
2024-07-12 14:55:54,0.005861524
2024-07-12 14:55:54,0.005688492
2024-07-12 14:55:54,0.005645806
2024-07-12 14:55:54,0.005541841
2024-07-12 14:55:54,0.005615715
2024-07-12 14:55:54,0.00570697
2024-07-12 14:55:54,0.005807407
2024-07-12 14:55:54,0.005665599
2024-07-12 14:55:54,0.005591931
2024-07-12 14:55:55,0.005561706
2024-07-12 14:55:55,0.005718938
2024-07-12 14:55:55,0.005634488
2024-07-12 14:55:55,0.005590186
2024-07-12 14:55:55,0.005751018
2024-07-12 14:55:55,0.005544901
2024-07-12 14:55:55,0.005410579
2024-07-12 14:55:55,0.005492047
2024-07-12 14:55:55,0.005538906
2024-07-12 14:55:55,0.005469263
2024-07-12 14:55:56,0.005466559
2024-07-12 14:55:56,0.005506121
2024-07-12 14:55:56,0.005601156
2024-07-12 14:55:56,0.00556272
2024-07-12 14:55:56,0.005623234
