Timestamp,Current (A),Voltage (V)
2025-01-27 11:29:37,7.230423e-11,-6.91479364e-05
2025-01-27 11:29:43,9.14485e-11,-2.06828593e-05
2025-01-27 11:29:48,6.455467e-11,-1.93031539e-05
2025-01-27 11:29:54,7.977546e-11,-5.76134789e-05
